Entidad,Fecha,Recuperados
AGUASCALIENTES,2020-03-22,1
AGUASCALIENTES,2020-03-25,1
AGUASCALIENTES,2020-03-27,1
AGUASCALIENTES,2020-03-29,1
AGUASCALIENTES,2020-03-30,1
AGUASCALIENTES,2020-03-31,2
AGUASCALIENTES,2020-04-01,2
AGUASCALIENTES,2020-04-02,4
AGUASCALIENTES,2020-04-03,2
AGUASCALIENTES,2020-04-04,3
AGUASCALIENTES,2020-04-06,5
AGUASCALIENTES,2020-04-07,9
AGUASCALIENTES,2020-04-08,5
AGUASCALIENTES,2020-04-09,5
AGUASCALIENTES,2020-04-10,4
AGUASCALIENTES,2020-04-11,5
AGUASCALIENTES,2020-04-12,2
AGUASCALIENTES,2020-04-13,3
AGUASCALIENTES,2020-04-14,3
AGUASCALIENTES,2020-04-16,1
AGUASCALIENTES,2020-04-17,2
AGUASCALIENTES,2020-04-20,1
AGUASCALIENTES,2020-04-21,4
AGUASCALIENTES,2020-04-22,3
AGUASCALIENTES,2020-04-23,1
AGUASCALIENTES,2020-04-24,3
AGUASCALIENTES,2020-04-25,5
AGUASCALIENTES,2020-04-26,5
AGUASCALIENTES,2020-04-27,6
AGUASCALIENTES,2020-04-28,8
AGUASCALIENTES,2020-04-29,13
AGUASCALIENTES,2020-04-30,8
AGUASCALIENTES,2020-05-01,9
AGUASCALIENTES,2020-05-02,11
AGUASCALIENTES,2020-05-03,14
AGUASCALIENTES,2020-05-04,7
AGUASCALIENTES,2020-05-05,18
AGUASCALIENTES,2020-05-06,6
AGUASCALIENTES,2020-05-07,11
AGUASCALIENTES,2020-05-08,18
AGUASCALIENTES,2020-05-09,12
AGUASCALIENTES,2020-05-10,9
AGUASCALIENTES,2020-05-11,10
AGUASCALIENTES,2020-05-12,32
AGUASCALIENTES,2020-05-13,10
AGUASCALIENTES,2020-05-14,17
AGUASCALIENTES,2020-05-15,23
AGUASCALIENTES,2020-05-16,10
AGUASCALIENTES,2020-05-17,21
AGUASCALIENTES,2020-05-18,11
AGUASCALIENTES,2020-05-19,21
AGUASCALIENTES,2020-05-20,20
AGUASCALIENTES,2020-05-21,8
AGUASCALIENTES,2020-05-22,14
AGUASCALIENTES,2020-05-23,10
AGUASCALIENTES,2020-05-24,6
AGUASCALIENTES,2020-05-25,19
